REF_DATE,GEO,DGUID,Type of structure,Type of unit,VECTOR,COORDINATE,VALUE,city,province
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,Bachelor units,v3823898,106.1.1,780.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,One bedroom units,v3824032,106.1.2,936.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,Two bedroom units,v3824166,106.1.3,1132.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,Three bedroom units,v3824300,106.1.4,1415.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,Bachelor units,v3824434,106.4.1,782.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,One bedroom units,v3824622,106.4.2,941.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,Two bedroom units,v3824810,106.4.3,1136.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,Three bedroom units,v3824998,106.4.4,1421.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2015,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Bachelor units,v3822825,37.3.1,574.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2015,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,One bedroom units,v3822959,37.3.2,656.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2015,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Two bedroom units,v3823093,37.3.3,751.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2015,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Three bedroom units,v3823227,37.3.4,851.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2015,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row structures of three units and over,Two bedroom units,v3823629,37.2.3,759.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
